AdopterID,activity_level,home_type,home_size,pet_experience,available_time,kids_present,other_pets,pet_budget,insurance_willing,vet_commitment,air_conditioning_available,training_commitment,patience_level,grooming_tolerance,noise_tolerance,long_term_commitment
A248,high,apartment,small,intermediate,high,yes,no,high,yes,high,no,medium,low,high,medium,yes
A249,medium,house,medium,intermediate,high,no,no,low,yes,high,yes,medium,medium,high,low,no
A250,high,house,large,beginner,low,no,no,high,yes,medium,yes,medium,high,high,low,yes
A251,medium,apartment,small,beginner,medium,no,yes,high,no,high,yes,medium,low,medium,medium,no
A252,high,apartment,large,beginner,low,yes,no,high,yes,low,no,high,low,high,medium,no
A253,low,house,small,experienced,high,no,no,medium,no,medium,no,high,medium,medium,medium,no
A254,low,apartment,medium,intermediate,high,yes,yes,high,yes,medium,yes,medium,medium,high,low,no
A255,low,apartment,medium,intermediate,high,yes,yes,high,no,high,no,low,medium,high,medium,yes
A256,low,apartment,small,intermediate,high,yes,yes,low,yes,medium,yes,low,low,high,low,no
A257,low,house,medium,experienced,low,no,yes,medium,no,low,yes,high,medium,high,medium,no
A258,medium,house,large,beginner,high,yes,no,low,no,medium,yes,medium,low,high,high,no
A259,medium,apartment,medium,experienced,medium,no,yes,medium,yes,high,no,low,low,high,low,yes
A260,low,house,medium,experienced,medium,no,yes,high,no,medium,no,high,medium,medium,medium,yes
A261,low,house,small,intermediate,medium,no,yes,high,no,medium,no,medium,high,low,medium,yes
A262,medium,apartment,small,experienced,low,no,yes,high,yes,low,no,low,medium,high,low,yes
A263,medium,apartment,large,experienced,medium,no,yes,medium,yes,low,yes,low,medium,medium,low,yes
A264,high,apartment,medium,beginner,medium,yes,yes,low,no,high,no,medium,low,low,medium,no
A265,low,house,medium,intermediate,low,yes,yes,low,yes,high,no,low,high,high,high,yes
A266,low,house,large,beginner,high,no,yes,medium,no,high,yes,high,high,medium,medium,yes
A267,medium,house,large,experienced,medium,yes,no,high,yes,high,yes,medium,medium,low,high,yes
A268,medium,house,large,experienced,high,yes,yes,high,yes,high,no,low,high,medium,high,yes
A269,low,house,medium,experienced,low,yes,no,high,no,medium,yes,high,low,high,low,yes
A270,low,house,small,beginner,low,no,no,low,no,low,no,medium,high,low,medium,no
A271,low,house,medium,beginner,medium,yes,yes,high,no,high,no,high,medium,high,high,no
A272,low,house,medium,intermediate,medium,yes,no,high,no,medium,no,medium,medium,low,medium,no
A273,medium,house,large,intermediate,medium,no,yes,medium,yes,high,yes,low,medium,low,high,yes
A274,low,house,medium,experienced,medium,no,yes,high,yes,medium,yes,high,low,high,low,no
A275,medium,house,medium,beginner,low,no,yes,low,no,low,yes,high,high,low,medium,no
A276,high,apartment,medium,beginner,low,no,no,low,no,low,no,medium,low,high,medium,yes
A277,low,house,large,intermediate,low,yes,no,low,yes,medium,no,low,low,low,low,no
A278,medium,house,small,intermediate,medium,yes,yes,high,no,medium,no,high,high,low,high,no
A279,high,apartment,small,beginner,low,no,yes,low,no,low,yes,low,medium,low,low,yes
A280,low,apartment,small,beginner,high,yes,yes,high,yes,medium,no,high,medium,low,medium,no
A281,high,apartment,medium,beginner,low,yes,no,low,no,high,no,high,medium,high,low,no
A282,medium,house,medium,beginner,medium,yes,no,low,no,low,no,low,medium,medium,high,yes
A283,high,house,large,intermediate,high,yes,yes,low,no,medium,no,medium,low,high,medium,yes
A284,high,apartment,large,beginner,low,yes,yes,low,no,medium,no,low,high,high,high,yes
A285,medium,house,small,experienced,low,no,no,medium,no,low,yes,medium,low,medium,high,yes
A286,high,apartment,small,intermediate,low,yes,no,medium,yes,medium,no,high,high,high,low,no
A287,medium,apartment,medium,experienced,high,no,no,medium,yes,low,no,low,high,medium,medium,yes
A288,high,apartment,small,intermediate,high,no,yes,medium,no,low,no,low,medium,low,low,no
A289,high,house,medium,experienced,high,yes,yes,medium,yes,low,no,high,medium,low,high,yes
A290,medium,apartment,medium,intermediate,high,yes,no,low,yes,low,yes,medium,low,high,low,yes
A291,low,house,large,beginner,high,yes,yes,high,no,medium,yes,high,medium,medium,medium,yes
A292,high,house,large,experienced,medium,no,yes,low,no,medium,yes,medium,medium,high,high,no
A293,high,house,small,intermediate,medium,no,yes,low,no,low,no,low,low,high,low,yes
A294,low,house,large,experienced,medium,no,yes,high,no,low,yes,low,high,low,medium,no
A295,high,apartment,medium,experienced,medium,yes,no,high,no,low,no,high,low,low,high,no
A296,medium,apartment,medium,beginner,low,no,yes,high,no,high,no,medium,low,high,high,yes
A297,medium,apartment,medium,experienced,medium,no,no,low,yes,high,yes,high,medium,high,high,yes
A298,medium,apartment,large,intermediate,low,yes,no,high,no,low,no,medium,high,medium,low,yes
A299,low,apartment,small,experienced,low,yes,yes,medium,yes,low,yes,medium,high,low,medium,yes
A300,low,apartment,large,experienced,high,no,yes,high,yes,low,no,high,low,medium,low,yes
A301,low,apartment,small,beginner,medium,no,no,low,yes,medium,yes,low,medium,low,high,no
A302,medium,apartment,large,experienced,low,no,no,high,no,high,no,high,low,high,high,yes
A303,high,apartment,small,intermediate,medium,no,yes,high,yes,high,no,low,low,medium,medium,no
A304,medium,house,large,experienced,medium,yes,no,medium,yes,low,no,medium,high,medium,low,no
A305,medium,house,large,intermediate,high,no,yes,low,yes,medium,yes,high,medium,medium,medium,no
A306,high,apartment,large,experienced,medium,no,no,medium,no,low,no,low,medium,medium,high,yes
A307,medium,apartment,small,intermediate,high,no,no,medium,yes,medium,no,low,high,low,high,yes
A308,high,house,small,beginner,medium,no,no,medium,yes,low,yes,medium,medium,low,medium,yes
A309,medium,apartment,large,beginner,medium,no,no,medium,no,medium,no,medium,low,high,high,no
A310,high,house,medium,beginner,high,no,no,medium,no,high,no,medium,medium,high,high,yes
A311,medium,house,medium,intermediate,medium,no,no,high,yes,high,no,low,medium,medium,low,yes
A312,high,house,large,experienced,low,no,yes,low,no,low,no,low,high,high,high,no
A313,low,apartment,large,experienced,low,no,yes,medium,no,high,yes,low,high,high,high,no
A314,low,house,medium,beginner,high,yes,yes,high,yes,high,yes,medium,high,medium,high,yes
A315,medium,apartment,small,beginner,high,yes,yes,medium,yes,low,yes,low,medium,medium,high,yes
A316,high,house,medium,experienced,low,yes,yes,medium,yes,medium,no,low,low,high,low,yes
A317,medium,apartment,large,intermediate,low,no,yes,medium,yes,medium,yes,medium,low,high,high,yes
A318,high,apartment,medium,intermediate,low,yes,no,medium,no,high,yes,medium,high,medium,medium,no
A319,low,apartment,small,intermediate,medium,yes,yes,medium,yes,high,yes,high,low,low,medium,no
A320,low,apartment,medium,experienced,medium,no,yes,low,yes,medium,no,medium,high,low,medium,yes
A321,medium,house,large,intermediate,medium,no,yes,high,no,low,no,high,low,high,medium,no
A322,low,apartment,large,intermediate,low,no,no,low,yes,medium,yes,high,medium,low,high,yes
A323,high,apartment,medium,intermediate,low,no,yes,low,no,low,no,medium,medium,low,high,yes
A324,medium,apartment,medium,beginner,low,yes,no,medium,no,high,no,low,high,medium,medium,yes
A325,medium,apartment,medium,experienced,low,yes,no,high,no,high,no,low,medium,high,low,yes
A326,medium,house,large,experienced,high,yes,yes,high,yes,medium,no,medium,low,high,low,yes
A327,low,house,medium,beginner,high,no,no,medium,no,low,yes,high,medium,medium,medium,no
A328,low,house,small,intermediate,medium,no,no,high,no,medium,yes,low,high,high,high,no
A329,low,apartment,large,intermediate,medium,yes,no,low,no,medium,yes,high,medium,low,medium,no
A330,medium,house,small,beginner,high,no,no,high,no,high,no,high,high,high,high,no
A331,low,apartment,medium,experienced,low,yes,no,low,yes,low,yes,low,high,medium,medium,no
A332,high,house,medium,experienced,medium,yes,yes,high,yes,high,no,medium,medium,high,low,yes
A333,medium,apartment,large,experienced,medium,no,yes,high,no,high,yes,high,low,high,low,no
A334,high,house,small,experienced,high,yes,yes,high,no,medium,no,low,medium,high,low,yes
A335,high,apartment,medium,experienced,medium,no,yes,medium,yes,medium,no,medium,high,medium,medium,yes
A336,high,apartment,small,beginner,low,yes,yes,low,yes,medium,yes,low,medium,medium,low,yes
A337,low,apartment,small,beginner,high,yes,yes,medium,no,low,no,high,low,low,high,no
A338,medium,apartment,small,experienced,high,yes,yes,low,yes,high,yes,high,low,medium,low,yes
A339,medium,apartment,large,beginner,medium,no,no,low,no,high,yes,high,high,medium,medium,yes
A340,medium,apartment,small,beginner,medium,yes,no,high,no,high,yes,low,medium,medium,medium,no
A341,high,house,large,beginner,medium,yes,yes,high,yes,low,yes,high,low,low,medium,no
A342,medium,house,medium,beginner,medium,no,yes,medium,no,low,yes,high,low,medium,high,yes
A343,medium,house,medium,intermediate,high,yes,no,low,yes,high,yes,medium,medium,medium,medium,no
A344,low,apartment,small,beginner,medium,no,no,medium,no,low,yes,low,high,high,medium,yes
A345,medium,house,medium,experienced,low,yes,no,low,yes,low,yes,medium,low,medium,medium,yes
A346,medium,apartment,large,experienced,low,yes,no,high,no,medium,yes,low,medium,high,high,no
A347,high,apartment,medium,beginner,high,no,yes,low,no,medium,yes,medium,high,medium,high,yes
A348,medium,house,medium,intermediate,medium,yes,no,low,no,low,no,medium,medium,low,medium,no
A349,high,house,small,experienced,high,no,no,high,no,medium,yes,high,low,high,high,no
A350,low,house,medium,experienced,high,no,no,medium,no,medium,yes,medium,low,low,high,yes
A351,high,house,medium,intermediate,low,yes,yes,medium,no,high,no,low,low,low,high,no
A352,low,house,large,beginner,medium,no,no,high,yes,high,yes,low,low,medium,medium,no
A353,high,house,medium,experienced,medium,yes,yes,high,yes,high,no,high,high,medium,medium,yes
A354,high,house,small,experienced,low,yes,yes,low,yes,high,no,medium,high,low,medium,yes
A355,medium,house,medium,beginner,medium,yes,yes,high,no,low,yes,medium,medium,medium,low,yes
A356,low,apartment,medium,intermediate,medium,no,no,low,yes,medium,yes,high,low,high,low,no
A357,low,house,small,experienced,medium,yes,no,high,no,high,no,low,medium,low,medium,yes
A358,medium,apartment,large,experienced,high,no,no,low,no,medium,no,medium,high,low,high,no
A359,medium,house,medium,experienced,low,yes,yes,medium,no,medium,no,low,high,high,high,no
A360,low,apartment,medium,intermediate,medium,yes,no,high,yes,high,no,low,high,high,high,yes
A361,medium,apartment,large,intermediate,medium,yes,no,high,no,high,yes,high,high,high,medium,yes
A362,high,house,medium,beginner,low,yes,no,high,yes,medium,yes,low,high,high,high,yes
A363,high,house,small,intermediate,high,yes,yes,medium,yes,low,no,high,low,low,high,no
A364,high,house,large,experienced,low,no,no,low,no,low,no,medium,medium,high,medium,yes
A365,high,house,medium,beginner,low,yes,no,low,yes,high,yes,medium,high,low,medium,no
A366,medium,apartment,small,experienced,low,yes,yes,medium,no,high,no,medium,low,medium,high,no
A367,medium,house,medium,experienced,medium,no,yes,high,yes,high,no,low,medium,medium,high,yes
A368,high,house,medium,intermediate,low,no,yes,medium,no,low,no,high,low,medium,high,no
A369,high,house,large,experienced,medium,yes,no,low,yes,high,yes,medium,medium,low,medium,no
A370,medium,apartment,medium,intermediate,medium,yes,yes,high,no,low,no,high,low,high,low,yes
A371,high,house,large,intermediate,low,yes,no,high,no,medium,yes,high,medium,high,high,no
A372,low,house,small,beginner,high,yes,yes,low,no,medium,yes,medium,medium,low,low,yes
A373,medium,house,medium,beginner,medium,yes,yes,low,yes,low,no,low,high,high,low,yes
A374,high,apartment,large,experienced,low,no,yes,medium,no,medium,yes,high,high,low,low,yes
A375,medium,house,large,experienced,low,yes,no,high,yes,medium,yes,low,medium,low,high,no
A376,high,house,small,experienced,medium,yes,yes,high,no,medium,no,low,high,low,low,yes
A377,medium,apartment,large,experienced,medium,yes,no,low,yes,low,yes,medium,low,high,low,no
A378,high,apartment,small,experienced,low,yes,no,high,yes,medium,yes,low,medium,medium,high,no
A379,low,apartment,small,beginner,medium,yes,no,low,yes,medium,no,high,low,medium,high,yes
A380,medium,apartment,small,intermediate,low,yes,yes,low,no,low,yes,low,high,medium,medium,yes
A381,high,apartment,medium,beginner,high,no,no,medium,yes,high,yes,low,medium,low,medium,no
A382,low,house,large,experienced,high,no,yes,high,yes,medium,no,high,medium,low,medium,no
A383,medium,house,medium,beginner,high,yes,no,medium,yes,medium,yes,medium,high,medium,medium,yes
A384,high,apartment,medium,experienced,low,no,yes,high,no,high,yes,low,medium,high,low,yes
A385,high,house,medium,intermediate,high,yes,yes,medium,no,medium,no,low,high,high,low,no
A386,high,apartment,large,intermediate,high,no,no,high,yes,medium,yes,high,low,low,high,no
A387,low,apartment,small,experienced,low,yes,no,high,no,low,no,high,low,low,low,no
A388,low,apartment,medium,experienced,low,yes,no,low,no,high,yes,low,high,medium,low,no
A389,medium,apartment,small,experienced,medium,yes,yes,medium,no,medium,yes,medium,medium,high,low,no
A390,low,house,small,intermediate,medium,no,no,low,yes,low,no,high,medium,medium,medium,yes
A391,high,apartment,medium,intermediate,low,yes,no,low,yes,medium,yes,high,high,medium,medium,no
A392,low,house,medium,experienced,low,no,yes,high,no,high,yes,low,medium,low,medium,no
A393,high,house,small,beginner,medium,yes,no,low,no,low,no,low,medium,high,high,no
A394,medium,apartment,large,beginner,medium,no,no,medium,yes,low,yes,medium,high,high,low,no
A395,high,house,large,beginner,high,no,yes,high,yes,low,yes,high,high,low,low,no
A396,low,apartment,medium,experienced,medium,yes,yes,high,no,low,yes,medium,medium,low,low,no
A397,medium,house,large,beginner,low,no,yes,medium,no,medium,yes,high,low,low,low,yes
A398,medium,apartment,large,intermediate,low,no,yes,low,yes,low,yes,medium,medium,low,low,yes
A399,low,house,large,intermediate,low,yes,no,low,yes,low,no,high,medium,high,medium,yes
A400,medium,house,small,beginner,low,no,no,low,yes,low,no,medium,high,high,low,yes
A401,medium,apartment,small,intermediate,high,yes,yes,medium,no,low,no,high,high,low,low,yes
A402,low,apartment,small,beginner,high,no,no,medium,no,high,yes,medium,high,low,medium,yes
A403,high,apartment,medium,beginner,high,no,yes,medium,yes,low,yes,low,low,high,high,no
A404,medium,house,small,intermediate,high,yes,yes,low,yes,medium,no,high,high,medium,high,no
A405,medium,apartment,small,intermediate,high,no,yes,low,yes,high,no,medium,low,medium,high,yes
A406,low,house,large,experienced,medium,yes,no,medium,yes,medium,yes,high,medium,medium,low,no
A407,high,house,medium,experienced,high,yes,no,low,yes,high,yes,high,high,high,low,yes
A408,high,apartment,medium,intermediate,low,no,no,medium,no,high,yes,medium,high,high,high,yes
A409,high,apartment,medium,experienced,high,yes,no,medium,no,low,no,medium,low,high,medium,no
A410,medium,house,medium,beginner,high,yes,yes,medium,no,high,yes,medium,high,high,medium,no
A411,medium,house,small,intermediate,low,yes,yes,low,yes,low,no,medium,low,medium,low,no
A412,low,apartment,small,beginner,low,no,no,high,yes,medium,no,low,high,high,low,yes
A413,low,house,large,beginner,high,yes,no,medium,yes,high,no,high,low,low,low,no
A414,medium,house,medium,beginner,high,yes,no,high,yes,medium,no,high,low,low,high,no
A415,low,apartment,small,experienced,medium,no,no,high,yes,low,yes,medium,low,high,low,yes
A416,low,house,medium,intermediate,medium,yes,yes,medium,yes,high,yes,low,low,low,low,no
A417,high,apartment,small,beginner,high,yes,yes,medium,no,low,no,medium,low,low,medium,no
A418,high,house,large,intermediate,medium,yes,no,medium,yes,low,yes,low,high,low,low,no
A419,high,apartment,large,experienced,high,no,no,medium,no,high,yes,medium,high,high,high,yes
A420,high,house,medium,experienced,high,no,no,medium,no,medium,yes,medium,medium,medium,high,no
A421,high,house,small,beginner,medium,no,yes,low,yes,medium,yes,high,medium,medium,high,yes
A422,low,apartment,medium,intermediate,medium,yes,no,low,yes,low,yes,high,high,low,low,no
A423,low,apartment,medium,intermediate,low,no,no,medium,yes,low,yes,medium,low,low,high,no
A424,medium,house,small,intermediate,high,no,yes,low,no,medium,yes,medium,medium,high,medium,yes
A425,medium,house,small,intermediate,low,no,yes,high,no,high,no,low,low,low,low,yes
A426,medium,house,medium,experienced,high,yes,yes,low,yes,high,yes,high,high,medium,low,no
A427,medium,apartment,large,beginner,high,no,no,medium,no,low,no,medium,high,high,high,no
A428,high,house,small,experienced,high,no,yes,low,yes,high,yes,medium,low,high,medium,no
A429,medium,house,medium,beginner,low,no,yes,high,yes,high,yes,medium,high,medium,low,yes
A430,low,apartment,small,intermediate,high,no,no,high,no,medium,yes,low,high,high,high,no
A431,low,house,medium,intermediate,medium,yes,yes,low,no,high,no,medium,high,medium,medium,yes
A432,medium,house,medium,intermediate,high,no,no,low,no,low,yes,high,medium,high,high,no
A433,high,apartment,medium,experienced,high,no,no,high,yes,medium,yes,high,high,medium,low,no
A434,low,apartment,large,intermediate,low,yes,yes,low,yes,high,yes,low,high,low,low,no
A435,high,apartment,large,intermediate,low,yes,yes,low,no,high,no,low,low,medium,medium,no
A436,low,house,small,intermediate,low,no,yes,high,yes,medium,yes,high,low,medium,high,no
A437,low,house,medium,experienced,low,no,yes,low,yes,low,no,medium,low,low,medium,no
A438,high,apartment,medium,intermediate,medium,no,no,medium,no,low,no,low,low,medium,medium,no
A439,high,apartment,medium,experienced,high,yes,yes,high,no,medium,yes,medium,high,medium,medium,no
A440,medium,apartment,medium,beginner,high,yes,no,high,no,low,yes,medium,high,low,medium,no
A441,low,apartment,small,intermediate,high,no,no,medium,yes,medium,no,high,medium,high,high,yes
A442,medium,house,medium,beginner,high,yes,yes,medium,yes,medium,no,low,high,medium,medium,yes
A443,high,apartment,medium,intermediate,medium,no,yes,high,no,medium,no,high,high,medium,high,yes
A444,low,house,medium,intermediate,low,no,no,low,yes,low,no,low,low,low,high,no
A445,low,house,medium,experienced,high,no,no,low,no,high,yes,medium,high,high,low,yes
A446,medium,apartment,small,intermediate,low,no,no,low,yes,high,no,medium,medium,low,high,no
A447,low,house,small,intermediate,medium,yes,no,medium,yes,medium,yes,medium,low,high,medium,yes
A448,low,apartment,small,intermediate,low,yes,no,medium,no,low,no,low,high,low,high,no
A449,low,apartment,medium,intermediate,medium,no,no,low,no,low,yes,medium,medium,medium,low,no
A450,high,apartment,large,beginner,low,yes,no,low,no,low,no,medium,high,high,high,no
A451,low,house,small,intermediate,high,no,no,high,yes,medium,yes,high,high,high,low,yes
A452,high,apartment,small,experienced,medium,yes,yes,medium,yes,medium,no,high,medium,low,low,no
A453,high,house,small,intermediate,high,no,no,high,yes,high,no,low,high,high,low,no
A454,medium,house,medium,intermediate,medium,no,yes,medium,yes,medium,no,medium,high,low,high,yes
A455,medium,house,medium,experienced,high,yes,no,low,yes,low,no,medium,medium,medium,medium,yes
A456,low,house,small,experienced,medium,yes,yes,low,no,medium,yes,high,high,medium,medium,yes
A457,high,house,large,experienced,medium,no,yes,medium,yes,high,yes,medium,low,low,low,no
A458,low,house,large,intermediate,high,no,yes,high,yes,medium,yes,low,low,high,medium,no
A459,high,house,small,intermediate,low,no,yes,high,no,medium,yes,medium,high,medium,medium,yes
A460,high,house,large,intermediate,high,no,yes,low,no,medium,no,medium,medium,medium,medium,yes
A461,high,house,small,beginner,high,no,no,high,no,low,no,low,low,low,medium,yes
A462,medium,house,medium,beginner,medium,yes,no,low,no,medium,no,low,high,low,medium,yes
A463,low,house,medium,intermediate,medium,no,yes,low,yes,medium,yes,high,low,medium,medium,no
A464,high,house,large,beginner,high,yes,no,high,yes,medium,yes,low,high,medium,medium,no
A465,low,apartment,medium,intermediate,high,yes,yes,medium,no,medium,no,high,low,medium,low,yes
A466,low,house,small,beginner,low,no,no,high,no,high,no,low,high,low,low,yes
A467,medium,house,small,beginner,low,no,yes,high,yes,medium,no,medium,high,high,low,no
A468,low,apartment,medium,experienced,high,no,yes,low,yes,low,yes,low,high,high,medium,no
A469,medium,house,small,beginner,low,no,no,high,no,high,no,low,medium,high,medium,yes
A470,medium,apartment,large,experienced,medium,yes,yes,low,yes,low,yes,high,low,high,high,no
A471,low,apartment,small,experienced,high,no,yes,medium,no,medium,yes,medium,low,high,medium,no
A472,low,house,small,experienced,medium,no,yes,high,no,low,no,medium,low,high,low,yes
A473,high,house,medium,experienced,medium,yes,no,high,no,medium,yes,high,medium,low,medium,no
A474,medium,house,large,beginner,medium,yes,no,low,yes,high,yes,low,low,medium,medium,no
A475,high,house,small,intermediate,low,yes,no,low,no,medium,yes,medium,low,medium,high,no
A476,medium,apartment,small,intermediate,low,yes,yes,high,no,medium,yes,low,low,high,high,yes
A477,low,apartment,small,intermediate,low,no,yes,medium,no,high,yes,low,high,low,low,no
A478,medium,house,medium,experienced,high,yes,yes,high,no,medium,no,medium,medium,high,high,no
A479,low,apartment,medium,beginner,medium,yes,no,medium,yes,high,yes,low,low,low,medium,yes
A480,high,apartment,large,intermediate,high,no,yes,low,yes,low,yes,low,high,low,medium,no
A481,low,house,large,beginner,medium,no,yes,medium,no,medium,no,medium,low,medium,low,yes
A482,high,house,medium,intermediate,high,yes,no,high,yes,high,yes,low,high,medium,low,no
A483,low,house,medium,beginner,high,yes,yes,high,yes,medium,no,high,low,high,low,no
A484,medium,apartment,small,intermediate,low,no,yes,low,yes,low,yes,medium,high,high,high,yes
A485,medium,apartment,medium,beginner,high,no,yes,high,yes,medium,yes,medium,medium,medium,low,no
A486,medium,house,medium,experienced,high,no,yes,high,yes,low,yes,high,high,medium,high,yes
A487,low,house,large,intermediate,medium,yes,yes,low,yes,medium,no,medium,low,medium,low,yes
A488,medium,house,small,intermediate,high,yes,yes,high,no,low,yes,high,low,high,low,yes
A489,low,house,large,intermediate,low,no,yes,low,no,low,no,medium,medium,high,high,yes
A490,low,house,small,intermediate,high,no,no,medium,no,low,yes,medium,low,medium,high,yes
A491,high,house,large,intermediate,high,no,yes,high,yes,high,no,high,medium,low,low,no
A492,medium,apartment,large,beginner,low,yes,no,medium,yes,low,yes,low,high,low,high,yes
A493,low,apartment,large,intermediate,high,yes,no,medium,no,low,yes,low,medium,low,medium,no
A494,low,house,small,beginner,medium,yes,no,medium,yes,medium,yes,high,high,medium,low,no
A495,high,apartment,small,experienced,medium,yes,no,low,yes,low,no,high,high,high,medium,yes
A496,high,apartment,large,intermediate,low,yes,no,low,no,high,yes,medium,high,low,high,no
A497,high,house,large,experienced,low,yes,no,high,yes,low,no,low,high,medium,low,no
