AdopterID,activity_level,home_type,home_size,pet_experience,available_time,kids_present,other_pets,pet_budget,insurance_willing,vet_commitment,air_conditioning_available,training_commitment,patience_level,grooming_tolerance,noise_tolerance,long_term_commitment
A498,low,house,large,experienced,high,no,yes,medium,yes,medium,yes,high,low,medium,medium,yes
A499,high,apartment,large,intermediate,low,no,yes,low,no,medium,no,low,medium,low,medium,no
A500,medium,house,medium,intermediate,medium,yes,no,high,yes,low,no,high,low,low,high,no
A501,low,house,medium,beginner,medium,no,no,medium,no,high,no,medium,low,low,high,yes
A502,high,house,small,beginner,low,yes,no,high,yes,high,no,low,medium,high,high,yes
A503,medium,house,small,intermediate,low,yes,yes,high,no,high,yes,high,medium,medium,low,yes
A504,high,apartment,medium,intermediate,high,yes,yes,high,yes,medium,no,high,medium,medium,medium,yes
A505,high,apartment,medium,beginner,medium,yes,no,high,yes,medium,no,low,high,medium,low,yes
A506,high,house,medium,intermediate,high,yes,no,medium,no,medium,no,low,low,low,low,yes
A507,medium,apartment,small,intermediate,medium,no,yes,high,yes,low,yes,medium,medium,low,low,yes
A508,low,house,large,intermediate,high,yes,yes,high,no,medium,no,medium,high,medium,medium,yes
A509,high,house,medium,beginner,medium,no,yes,low,no,low,no,high,low,medium,high,yes
A510,high,house,large,experienced,high,yes,yes,medium,yes,low,yes,low,high,high,low,yes
A511,medium,house,small,experienced,medium,no,no,medium,yes,low,no,low,high,medium,low,no
A512,medium,house,large,beginner,high,no,yes,medium,yes,low,yes,low,high,high,low,yes
A513,high,apartment,large,experienced,low,no,no,low,yes,high,yes,high,medium,low,low,yes
A514,low,apartment,medium,beginner,medium,yes,yes,medium,yes,high,yes,low,high,high,medium,yes
A515,high,apartment,small,beginner,medium,no,yes,high,no,low,yes,low,low,low,high,yes
A516,medium,apartment,medium,intermediate,low,yes,yes,low,yes,low,no,low,high,medium,low,no
A517,high,house,medium,beginner,medium,yes,no,medium,no,medium,yes,high,medium,high,medium,no
A518,high,house,medium,experienced,low,yes,yes,low,yes,medium,yes,low,medium,high,medium,yes
A519,high,apartment,small,intermediate,high,yes,no,medium,yes,medium,yes,low,medium,low,low,no
A520,high,apartment,medium,intermediate,low,yes,yes,low,no,high,yes,medium,medium,low,high,no
A521,high,house,small,intermediate,high,yes,no,low,yes,high,no,high,low,low,high,no
A522,low,apartment,medium,experienced,medium,yes,no,medium,no,low,no,low,medium,low,medium,yes
A523,medium,house,medium,beginner,high,yes,yes,medium,yes,high,no,low,medium,medium,high,no
A524,medium,house,large,intermediate,low,no,no,medium,yes,medium,yes,high,high,low,high,no
A525,high,apartment,large,experienced,medium,yes,no,medium,yes,low,yes,high,high,high,medium,no
A526,medium,house,large,beginner,medium,yes,no,high,no,medium,yes,high,high,high,high,no
A527,high,apartment,medium,intermediate,medium,yes,yes,high,no,medium,yes,low,low,low,low,yes
A528,low,house,large,intermediate,medium,yes,no,low,no,low,yes,medium,high,high,medium,yes
A529,low,house,large,intermediate,low,no,yes,medium,no,low,no,medium,high,low,low,no
A530,low,apartment,large,beginner,high,yes,no,low,yes,medium,no,high,medium,medium,medium,no
A531,medium,house,medium,intermediate,low,no,no,high,yes,low,yes,medium,medium,high,medium,no
A532,medium,apartment,medium,experienced,low,no,yes,low,no,medium,yes,high,low,low,high,no
A533,medium,apartment,medium,experienced,high,no,yes,medium,no,low,yes,low,low,medium,medium,yes
A534,high,apartment,small,intermediate,medium,yes,no,medium,yes,medium,no,low,low,low,high,yes
A535,high,house,large,intermediate,medium,yes,no,low,no,low,yes,high,medium,high,low,yes
A536,low,house,medium,beginner,high,yes,yes,low,yes,high,no,high,high,low,low,no
A537,low,apartment,small,intermediate,high,no,no,high,yes,medium,no,low,high,low,medium,yes
A538,low,house,small,intermediate,low,no,yes,low,yes,high,yes,low,low,medium,high,no
A539,high,apartment,small,intermediate,low,yes,yes,low,yes,low,no,high,high,high,high,no
A540,medium,apartment,large,experienced,medium,yes,yes,low,no,high,no,high,high,high,medium,no
A541,high,house,large,experienced,medium,yes,no,medium,no,high,no,high,medium,low,low,yes
A542,medium,apartment,large,experienced,medium,yes,no,medium,no,high,no,medium,high,medium,high,yes
A543,medium,apartment,medium,experienced,high,no,yes,low,no,medium,no,medium,low,medium,low,no
A544,low,house,small,experienced,low,yes,no,high,yes,medium,yes,medium,medium,high,medium,no
A545,medium,apartment,medium,intermediate,high,yes,no,medium,no,low,yes,low,medium,medium,high,yes
A546,low,house,small,experienced,low,yes,no,medium,no,medium,no,medium,low,low,high,yes
A547,low,house,large,intermediate,high,yes,no,low,no,low,yes,high,high,medium,high,yes
A548,high,house,small,intermediate,low,yes,no,high,yes,medium,yes,medium,low,high,low,no
A549,low,apartment,small,experienced,low,no,no,high,no,low,no,high,high,low,high,no
A550,medium,house,large,beginner,high,yes,no,high,yes,low,yes,low,high,low,low,no
A551,low,house,small,beginner,high,yes,no,medium,yes,high,yes,medium,low,low,medium,yes
A552,low,apartment,large,intermediate,low,yes,yes,medium,yes,low,yes,high,medium,low,high,no
A553,high,house,small,experienced,high,no,no,high,no,high,yes,medium,low,low,medium,no
A554,high,apartment,large,intermediate,high,no,yes,low,no,medium,yes,medium,low,low,high,no
A555,low,apartment,small,intermediate,high,yes,no,medium,no,medium,yes,low,low,high,medium,no
A556,high,apartment,large,intermediate,high,yes,yes,medium,yes,medium,yes,high,medium,low,low,no
A557,high,apartment,medium,intermediate,low,yes,no,low,no,high,no,low,low,medium,medium,no
A558,high,house,small,intermediate,high,yes,yes,low,yes,high,yes,high,high,high,low,yes
A559,high,apartment,large,beginner,low,no,no,high,yes,medium,yes,high,high,low,low,no
A560,high,apartment,medium,experienced,medium,no,yes,medium,no,high,yes,medium,low,medium,high,no
A561,high,apartment,medium,experienced,high,no,no,low,yes,high,no,medium,high,medium,low,yes
A562,low,apartment,large,experienced,low,yes,no,low,yes,high,no,medium,medium,medium,medium,no
A563,low,apartment,medium,experienced,low,no,yes,high,no,medium,yes,high,medium,medium,high,no
A564,medium,house,small,beginner,low,no,yes,low,yes,low,no,medium,medium,medium,low,yes
A565,high,apartment,large,experienced,medium,yes,no,medium,no,high,no,medium,high,low,medium,yes
A566,medium,apartment,medium,intermediate,low,yes,yes,medium,yes,medium,no,high,high,high,high,no
A567,low,apartment,large,beginner,low,no,no,low,yes,low,no,medium,medium,low,low,no
A568,medium,house,small,experienced,low,no,no,high,no,high,yes,medium,high,low,low,yes
A569,medium,apartment,large,experienced,high,no,yes,high,yes,high,yes,low,medium,medium,high,yes
A570,low,house,large,experienced,low,no,yes,low,yes,low,no,high,medium,high,medium,yes
A571,high,house,small,intermediate,high,yes,no,low,yes,medium,no,low,medium,medium,low,yes
A572,medium,house,small,beginner,high,no,yes,low,yes,low,yes,low,high,low,low,yes
A573,low,apartment,large,intermediate,medium,yes,yes,medium,yes,low,yes,high,high,low,high,no
A574,medium,house,small,beginner,low,no,yes,low,no,high,yes,high,high,high,medium,yes
A575,low,apartment,small,experienced,high,no,no,medium,yes,low,no,medium,medium,low,high,yes
A576,low,apartment,medium,experienced,high,no,no,low,yes,low,no,high,medium,high,low,no
A577,low,apartment,large,beginner,low,yes,no,high,yes,medium,no,low,high,low,high,no
A578,low,house,large,beginner,low,no,no,high,no,low,no,medium,high,high,medium,no
A579,low,apartment,medium,beginner,medium,yes,yes,low,yes,low,yes,low,high,high,high,yes
A580,high,house,medium,beginner,low,yes,yes,medium,no,medium,yes,medium,low,medium,low,no
A581,medium,house,small,experienced,medium,no,no,high,yes,medium,yes,low,low,low,high,yes
A582,high,house,large,beginner,medium,no,yes,low,yes,medium,yes,high,low,high,medium,yes
A583,low,apartment,large,intermediate,medium,yes,no,medium,no,low,yes,high,low,medium,medium,no
A584,high,apartment,medium,beginner,high,no,no,medium,yes,high,yes,low,medium,high,low,no
A585,medium,house,small,beginner,medium,no,yes,medium,no,medium,no,high,medium,low,low,no
A586,low,house,small,beginner,medium,no,yes,low,yes,high,yes,high,high,low,high,no
A587,medium,house,small,beginner,high,no,yes,high,no,low,yes,low,medium,medium,low,no
A588,low,apartment,large,experienced,low,yes,yes,high,no,medium,no,low,medium,high,high,yes
A589,medium,apartment,medium,beginner,medium,yes,no,high,no,high,no,high,high,medium,medium,yes
A590,high,house,medium,experienced,medium,yes,yes,low,yes,high,yes,medium,medium,medium,medium,yes
A591,low,house,large,beginner,high,no,yes,high,yes,medium,yes,high,low,low,medium,no
A592,high,apartment,large,experienced,low,yes,yes,high,yes,high,no,low,low,high,medium,yes
A593,medium,house,large,beginner,low,no,yes,medium,yes,medium,yes,medium,high,medium,high,no
A594,medium,apartment,medium,beginner,medium,yes,yes,medium,yes,low,yes,high,medium,high,medium,yes
A595,medium,apartment,large,experienced,low,yes,yes,low,no,low,yes,medium,high,low,high,no
A596,low,house,small,experienced,high,yes,no,high,yes,low,no,high,high,low,high,no
A597,medium,apartment,medium,experienced,high,no,no,low,no,high,no,medium,high,low,medium,yes
A598,medium,apartment,medium,experienced,high,yes,no,high,no,high,no,medium,high,high,high,yes
A599,low,house,medium,beginner,high,yes,no,low,yes,low,yes,high,high,medium,high,no
A600,medium,house,small,intermediate,medium,no,no,medium,no,medium,no,high,low,medium,low,no
A601,medium,house,large,experienced,high,no,no,high,no,low,no,low,low,high,high,yes
A602,medium,apartment,small,beginner,low,yes,yes,medium,yes,medium,no,medium,medium,low,high,no
A603,medium,apartment,medium,intermediate,low,no,no,high,yes,medium,yes,medium,medium,medium,medium,no
A604,high,apartment,small,intermediate,medium,no,yes,low,no,low,yes,medium,low,high,medium,yes
A605,medium,house,medium,intermediate,high,no,no,low,yes,medium,no,low,low,high,medium,no
A606,medium,house,medium,experienced,high,yes,yes,medium,no,medium,yes,medium,medium,medium,low,yes
A607,medium,house,small,beginner,high,no,no,low,no,high,yes,low,low,low,low,yes
A608,high,apartment,small,experienced,medium,no,yes,low,yes,medium,yes,high,medium,low,high,yes
A609,high,house,large,experienced,medium,no,no,low,no,high,no,low,low,low,low,no
A610,medium,house,small,beginner,high,no,yes,medium,no,medium,yes,medium,low,medium,high,yes
A611,medium,apartment,large,experienced,high,no,no,low,no,medium,no,high,medium,low,low,no
A612,high,apartment,medium,beginner,low,no,yes,high,no,medium,no,high,high,low,low,yes
A613,medium,house,large,experienced,high,no,no,medium,no,high,no,high,low,high,high,no
A614,high,apartment,medium,experienced,low,no,yes,medium,no,high,no,high,low,medium,low,no
A615,high,house,small,beginner,medium,yes,yes,medium,yes,medium,no,high,low,medium,low,no
A616,low,apartment,large,beginner,medium,no,no,low,no,medium,yes,medium,low,medium,high,no
A617,medium,house,medium,experienced,high,no,no,low,no,medium,no,low,low,medium,medium,no
A618,high,apartment,small,experienced,medium,no,yes,medium,no,low,no,medium,low,low,high,no
A619,high,apartment,medium,intermediate,low,yes,no,medium,yes,low,yes,high,low,high,medium,yes
A620,low,house,large,experienced,high,no,yes,high,yes,low,yes,medium,low,high,high,yes
A621,medium,house,medium,experienced,high,no,yes,low,no,high,yes,low,medium,high,low,no
A622,medium,apartment,medium,experienced,low,yes,no,high,yes,high,yes,high,low,high,medium,yes
A623,low,house,large,beginner,medium,yes,no,high,no,low,yes,high,high,high,medium,yes
A624,low,house,medium,intermediate,low,no,no,medium,yes,high,no,medium,high,high,high,yes
A625,high,house,large,intermediate,high,yes,no,low,no,medium,yes,medium,medium,medium,high,no
A626,low,house,small,intermediate,high,yes,yes,low,yes,low,no,medium,low,medium,high,yes
A627,high,house,medium,beginner,medium,yes,yes,high,yes,high,yes,high,low,medium,low,yes
A628,high,apartment,small,beginner,low,yes,no,medium,no,low,yes,medium,medium,high,high,no
A629,low,apartment,medium,experienced,medium,no,yes,high,no,low,yes,low,low,medium,high,yes
A630,medium,house,small,experienced,high,yes,no,high,no,medium,yes,high,medium,high,low,yes
A631,low,apartment,medium,intermediate,low,yes,yes,low,yes,low,yes,low,low,low,medium,no
A632,low,apartment,large,intermediate,medium,no,yes,low,yes,high,no,low,low,medium,medium,no
A633,high,apartment,medium,intermediate,low,yes,yes,medium,no,medium,yes,low,medium,high,high,no
A634,medium,house,medium,beginner,high,yes,no,medium,no,high,no,low,low,low,low,no
A635,high,house,small,beginner,low,no,yes,medium,yes,low,yes,low,medium,high,medium,yes
A636,low,house,small,experienced,low,yes,yes,medium,yes,medium,no,low,high,low,medium,no
A637,low,house,small,experienced,low,no,yes,low,no,high,yes,medium,medium,medium,high,no
A638,high,house,large,beginner,medium,no,yes,high,no,medium,no,high,medium,low,low,no
A639,high,apartment,large,intermediate,medium,no,yes,low,no,low,yes,medium,low,low,medium,no
A640,low,house,large,experienced,low,no,yes,high,no,low,yes,high,high,high,low,no
A641,low,apartment,small,experienced,high,no,yes,medium,yes,high,yes,high,low,low,low,yes
A642,low,house,medium,beginner,high,yes,yes,high,no,medium,no,high,medium,high,high,yes
A643,low,house,small,beginner,medium,no,no,medium,no,high,no,medium,low,low,high,yes
A644,low,house,small,experienced,low,yes,no,high,no,medium,no,high,high,medium,low,yes
A645,high,house,small,intermediate,medium,no,yes,medium,yes,medium,yes,low,medium,low,low,no
A646,low,house,small,experienced,high,no,no,medium,no,high,no,high,high,medium,high,no
A647,high,apartment,large,intermediate,medium,yes,yes,high,yes,medium,yes,medium,high,low,medium,no
A648,medium,house,large,experienced,medium,no,no,high,yes,high,yes,low,low,medium,medium,no
A649,medium,house,medium,experienced,high,yes,yes,low,yes,low,no,low,medium,low,medium,no
A650,low,apartment,large,experienced,medium,yes,no,low,yes,high,yes,high,high,high,high,no
A651,low,house,medium,experienced,low,no,yes,high,no,medium,yes,medium,medium,low,high,no
A652,low,house,small,intermediate,high,yes,yes,medium,no,low,yes,low,medium,medium,high,no
A653,medium,apartment,medium,experienced,medium,yes,yes,medium,no,high,yes,low,low,high,medium,yes
A654,medium,house,large,intermediate,high,no,no,low,yes,low,no,medium,medium,high,low,yes
A655,medium,apartment,medium,experienced,high,no,no,low,yes,high,yes,medium,high,high,high,yes
A656,low,house,large,experienced,medium,no,yes,high,no,low,no,medium,high,medium,low,yes
A657,medium,apartment,large,intermediate,medium,no,no,low,yes,high,no,medium,medium,high,low,yes
A658,high,apartment,small,beginner,low,no,yes,medium,no,high,yes,low,medium,low,low,no
A659,medium,apartment,large,beginner,medium,yes,no,low,no,high,no,medium,low,low,low,yes
A660,low,house,small,experienced,high,no,no,low,yes,low,yes,low,medium,high,high,yes
A661,medium,house,small,intermediate,low,no,yes,high,yes,low,no,high,low,low,low,yes
A662,medium,apartment,large,intermediate,low,yes,no,medium,yes,low,yes,low,high,medium,low,no
A663,high,house,small,experienced,low,yes,yes,medium,yes,medium,no,high,high,medium,low,no
A664,high,apartment,medium,experienced,medium,no,yes,high,yes,high,yes,low,medium,low,low,yes
A665,low,apartment,medium,intermediate,low,no,yes,medium,yes,medium,yes,low,low,high,high,yes
A666,medium,apartment,small,experienced,medium,no,no,high,yes,medium,no,low,high,medium,low,yes
A667,high,apartment,large,intermediate,high,no,no,low,no,medium,no,high,low,high,high,no
A668,low,apartment,small,beginner,low,yes,yes,low,yes,high,no,medium,high,high,medium,yes
A669,low,house,large,intermediate,low,yes,no,low,no,low,yes,medium,high,high,high,yes
A670,low,house,large,intermediate,high,no,no,low,no,low,no,low,medium,high,medium,yes
A671,low,apartment,medium,beginner,high,yes,no,medium,yes,low,yes,low,medium,medium,high,yes
A672,low,house,medium,experienced,low,no,no,medium,yes,medium,no,high,low,medium,low,yes
A673,medium,apartment,small,intermediate,low,yes,no,low,no,medium,no,medium,low,low,high,no
A674,low,house,small,experienced,low,no,yes,medium,no,high,yes,low,medium,medium,low,yes
A675,medium,house,large,experienced,medium,yes,yes,low,no,high,yes,medium,high,medium,high,no
A676,medium,house,large,beginner,high,no,yes,high,no,high,no,low,high,medium,high,yes
A677,low,apartment,large,beginner,medium,yes,no,medium,yes,low,yes,low,medium,high,low,yes
A678,high,apartment,medium,intermediate,high,no,yes,low,no,high,yes,medium,low,high,high,yes
A679,low,apartment,large,beginner,medium,no,yes,high,yes,medium,no,medium,low,medium,high,yes
A680,high,house,medium,beginner,high,yes,no,low,no,high,yes,low,medium,high,high,yes
A681,low,house,large,experienced,low,no,no,low,no,low,no,high,high,high,medium,yes
A682,low,apartment,medium,intermediate,low,yes,yes,high,yes,medium,yes,high,medium,medium,low,no
A683,high,house,medium,intermediate,medium,no,no,high,yes,medium,no,low,medium,high,medium,no
A684,high,house,small,beginner,low,yes,no,medium,yes,low,yes,low,low,low,medium,yes
A685,high,house,small,experienced,low,no,yes,medium,no,low,yes,low,high,medium,low,yes
A686,low,house,large,beginner,medium,no,no,high,no,medium,yes,medium,medium,medium,medium,no
A687,high,house,small,beginner,high,no,yes,medium,no,high,yes,low,high,low,medium,no
A688,low,apartment,small,experienced,high,no,no,medium,yes,low,no,high,high,high,high,yes
A689,low,house,medium,intermediate,high,yes,yes,medium,yes,low,no,low,low,low,medium,yes
A690,low,apartment,small,beginner,high,yes,no,low,yes,high,yes,low,high,high,medium,no
A691,medium,house,medium,beginner,medium,yes,no,high,no,low,yes,medium,low,medium,low,yes
A692,low,apartment,medium,experienced,low,no,yes,high,yes,medium,no,high,medium,high,medium,yes
A693,high,apartment,large,beginner,medium,no,no,high,yes,high,yes,high,low,low,low,no
A694,low,house,large,intermediate,medium,yes,yes,high,no,high,yes,low,low,medium,high,yes
A695,high,house,large,intermediate,medium,yes,yes,high,yes,low,no,low,medium,medium,low,no
A696,medium,house,large,beginner,medium,yes,no,high,no,low,no,medium,low,medium,high,yes
A697,high,house,medium,experienced,medium,no,yes,low,yes,medium,yes,medium,low,low,medium,no
A698,high,apartment,large,experienced,medium,no,no,medium,yes,low,no,medium,medium,high,low,yes
A699,high,apartment,small,beginner,medium,yes,yes,high,no,high,no,low,low,low,low,no
A700,low,apartment,large,intermediate,high,no,no,high,yes,low,yes,high,high,medium,low,yes
A701,high,house,medium,beginner,high,no,yes,low,yes,medium,no,medium,medium,medium,high,yes
A702,high,apartment,medium,experienced,low,yes,no,high,yes,high,no,medium,high,high,high,yes
A703,high,house,large,experienced,medium,no,yes,low,no,low,no,medium,low,high,high,yes
A704,low,apartment,small,beginner,low,no,no,low,yes,high,no,medium,low,low,medium,yes
A705,high,house,medium,experienced,high,yes,yes,low,yes,medium,yes,low,medium,high,low,no
A706,high,apartment,large,intermediate,low,yes,yes,high,yes,medium,no,low,low,high,high,yes
A707,medium,house,small,intermediate,high,yes,yes,medium,yes,medium,yes,low,medium,low,medium,yes
A708,high,house,large,intermediate,medium,yes,yes,high,yes,medium,yes,low,medium,medium,low,yes
A709,high,apartment,medium,intermediate,high,yes,yes,medium,yes,low,no,high,low,low,medium,no
A710,high,apartment,large,beginner,low,yes,yes,high,no,high,no,high,high,low,low,yes
A711,medium,house,small,intermediate,low,no,yes,high,yes,medium,no,low,low,medium,medium,no
A712,high,house,medium,experienced,medium,yes,yes,medium,no,medium,no,medium,medium,low,medium,no
A713,low,house,medium,experienced,low,yes,yes,low,no,high,no,low,medium,medium,low,yes
A714,medium,apartment,small,experienced,high,no,yes,high,yes,low,yes,medium,low,high,low,yes
A715,high,apartment,medium,beginner,low,yes,yes,high,yes,high,yes,low,low,low,medium,yes
A716,medium,apartment,large,experienced,high,yes,yes,low,yes,low,yes,low,low,medium,high,no
A717,medium,apartment,medium,beginner,high,no,yes,medium,no,medium,no,low,low,low,medium,no
A718,low,house,small,intermediate,high,yes,yes,medium,no,high,yes,high,low,low,high,no
A719,high,house,small,beginner,low,yes,no,low,yes,high,no,medium,medium,medium,low,no
A720,high,apartment,large,intermediate,high,no,yes,medium,no,high,no,medium,low,high,low,yes
A721,low,house,small,beginner,low,yes,yes,medium,no,high,yes,high,medium,medium,high,no
A722,high,house,large,beginner,low,no,yes,high,yes,low,no,low,medium,low,low,yes
A723,high,apartment,small,beginner,low,no,no,high,yes,low,no,medium,low,medium,high,yes
A724,medium,house,small,intermediate,high,yes,no,high,yes,high,no,high,low,low,high,yes
A725,low,apartment,small,beginner,low,yes,yes,high,no,low,yes,high,medium,high,high,yes
A726,high,house,medium,experienced,medium,yes,no,low,yes,low,no,high,high,medium,medium,no
A727,high,house,large,beginner,medium,no,yes,medium,no,high,yes,high,medium,low,medium,yes
A728,high,house,large,intermediate,medium,yes,yes,medium,no,low,no,medium,high,high,low,yes
A729,medium,apartment,medium,experienced,medium,yes,yes,low,no,medium,yes,medium,high,high,high,no
A730,medium,house,medium,intermediate,medium,no,no,low,no,medium,no,medium,high,high,low,no
A731,high,apartment,large,intermediate,low,no,no,medium,no,low,no,high,low,medium,medium,no
A732,low,house,large,experienced,medium,yes,yes,low,no,medium,yes,high,medium,high,high,yes
A733,low,house,small,intermediate,low,no,yes,high,yes,low,yes,medium,low,medium,high,no
A734,low,house,small,beginner,high,no,yes,high,yes,high,no,high,medium,low,medium,yes
A735,low,apartment,medium,intermediate,low,yes,no,medium,no,high,no,high,high,medium,medium,no
A736,low,house,small,beginner,medium,no,yes,medium,no,high,yes,high,high,medium,low,yes
A737,low,apartment,small,experienced,high,no,no,low,no,medium,no,low,high,medium,low,no
A738,high,house,large,beginner,high,no,no,low,yes,high,yes,medium,high,medium,low,no
A739,low,house,large,experienced,low,no,yes,high,no,high,no,high,high,low,medium,yes
A740,medium,house,small,beginner,low,no,no,medium,no,low,yes,low,high,low,high,yes
A741,high,house,medium,intermediate,low,no,yes,medium,yes,low,no,low,medium,high,medium,no
A742,high,house,large,intermediate,low,yes,yes,high,no,high,no,low,medium,low,high,yes
A743,high,house,medium,beginner,medium,no,yes,high,no,medium,no,medium,high,medium,medium,no
A744,medium,house,small,intermediate,low,yes,no,low,yes,medium,no,low,high,medium,high,no
A745,low,house,small,intermediate,high,yes,yes,medium,yes,high,no,low,medium,low,high,no
A746,medium,house,large,beginner,medium,yes,no,high,yes,low,no,low,medium,medium,medium,no
A747,medium,apartment,small,intermediate,high,no,no,high,no,medium,yes,low,low,low,low,yes
A748,medium,apartment,large,experienced,high,yes,yes,high,yes,high,no,medium,medium,medium,medium,yes
